activity_id,activity_date,developer,project_code,project_name,requirement_id,deliverable_id,activity_type,activity_title,activity_summary,systems_touched,files_touched,evidence_refs,reusable_asset_created,reusable_pattern,validation_rule,gap_or_risk,next_action,status,priority,llm_queryable,company_knowledge_candidate,memory_tags,source_skill_file,source_type
D05-A01,2026-07-28,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D05,investigation,"Prove Component Received was showing the SKU catalogue date, not a receipt date",Traced the dashboard column to inv_products.created_at via build_new_scope.py base_row(). Demonstrated on combo CRSF120BM+PHSH1PBRYB+LSCY290BI that the displayed date was the COMBO's catalogue creation (2026-07-23) while its three components were catalogued 2024-10-25 and restocked repeatedly - one component had 10 separate POs spanning Aug 2025 to Jul 2026.,"postgresql, inv_products, inv_product_combo, supplier.order_items",dashboard-v1-sql/build_new_scope.py,live SQL: combo created 2026-07-23 vs components 2024-10-25; LSCY290BI has 10 PO lines across UK/DE/US containers,false,"To test whether a date column means what its label claims, compare it against the same entity's related event history; if the 'receipt' date post-dates every known restock it is a record-creation date, not an event date.","A column labelled as a business event date must be traceable to a table that records that event, not to a record-creation timestamp.",V1 continues to display this column; the fix landed in V2 only.,Decide whether V1 should adopt the V2 receipt-date logic or be retired.,completed,high,true,true,"scwts,received-date,data-lineage,inv_products,audit",2026-07-28__sarujanan__scwts__REQ-01-D05.md,skill_file
D05-A02,2026-07-28,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D05,investigation,Establish that the supplier schema contains no receipt or arrival date at all,Checked every candidate: orders.status_arrived is a date-less 0/1 flag; orders.updated_at is a generic row-edit timestamp proven unusable because 162 never-arrived POs carry updated_at values spanning the identical range as arrived ones; order_item_logs (7269 rows) logs only weight/ctns/cbm/pcs/length/height/width edits with no container or arrival events.,"postgresql, supplier.orders, supplier.order_item_logs, supplier.invoices",,"status_arrived=0 -> 162 orders, updated_at 2025-09-25..2026-07-27; status_arrived=1 -> 105 orders, same range; order_item_logs change_key distribution",true,"Test a candidate event-timestamp against rows where the event did NOT occur. If the timestamp moves on non-events it records edits, not the event.",orders.updated_at must never be used as an arrival date; it changes on any edit to the PO row regardless of arrival status.,No auditable receipt date exists; a dedicated arrived_date column is required on supplier.final_containers.,Raise the arrived_date column request with Tamilchelvan who owns the purchasing DB.,completed,high,true,true,"scwts,supplier-schema,receipt-date,timestamp-semantics,gap",2026-07-28__sarujanan__scwts__REQ-01-D05.md,skill_file
D05-A03,2026-07-28,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D05,investigation,Discover supplier.final_containers as the real shipping container table,"Found three previously unknown supplier tables (final_containers, invoices, order_item_logs). final_containers is the container that actually ships and arrives, linked by order_items.final_container_id, and covers 154 of 178 new components versus only 88 for the previously used containers table linked by assigned_container_id. It carries status (completed/in_progress) and main_container (UK/GERMAN/US).","postgresql, supplier.final_containers, supplier.containers, supplier.invoices",dashboard-v2-sql/build_v2.py,coverage query: final_container name 154/178 vs assigned_container name 88/178; 16 final_containers rows with status and main_container,true,"When a link table exposes more than one FK to similar-sounding targets, measure coverage of each against the real working set before choosing; the better-named column is not always the better-populated one.",Container and Received Date must resolve through order_items.final_container_id (the shipping container) before falling back to assigned_container_id (the loading container).,24 of 178 components still have no final container link.,Confirm with the purchasing team whether assigned_container_id is deprecated.,completed,high,true,true,"scwts,final-containers,supplier-schema,discovery,coverage",2026-07-28__sarujanan__scwts__REQ-01-D05.md,skill_file
D05-A04,2026-07-28,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D05,implementation,Build the Dashboard V2 data model from supplier-received stock,"Wrote build_v2.py from scratch with an inverted scope chain: new component (2026 inv_products, not deleted, no plus sign, and present in supplier.order_items) gives 178; combos built from those components via inv_product_combo give 223 combos and 261 component-combo pairs. No V1 SQL, joins, or payload code reused. Rows are emitted one per (combo, marketplace) for the Combos view.","postgresql, inv_products, inv_product_combo, listing_data, traffic_data, ppc_performance, order_transaction, amazon/ebay/shopify_returns, supplier.*","dashboard-v2-sql/build_v2.py, dashboard-v2-sql/payload_v2.json",regression anchors 178 components / 223 combos / 261 pairs verified twice via MCP and via the builder's own gates,true,"Anchor a rebuilt pipeline on a small set of counts (scope, intermediate, output) and assert them in the build, so any future schema drift fails loudly instead of shifting numbers quietly.","Scope must satisfy: components=178, combos=223, pairs=261; the build reports a FAIL if any anchor moves.",47 supplier SKUs are absent from inv_products and are therefore invisible to this scope.,Ask the business whether uncatalogued supplier SKUs should appear as a separate exception list.,completed,high,true,true,"scwts,dashboard-v2,scope-chain,regression-anchor,build",2026-07-28__sarujanan__scwts__REQ-01-D05.md,skill_file
D05-A05,2026-07-28,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D05,bugfix,Stop raw container foreign keys rendering as business values,"COALESCE(ct.name, NULLIF(o.container_id,''), '') fell through to orders.container_id whenever assigned_container_id was NULL, printing bare integers such as 31 into the Container column as if they were container names. Replaced with COALESCE(final_containers.name, containers.name) and no FK fallback; container coverage rose from 467 to 551 of 564 rows at the time of the fix.","postgresql, supplier.containers, supplier.final_containers",dashboard-v2-sql/build_v2.py,"SKU LSCASN3BCL: assigned_container_id NULL, orders.container_id '31' leaked; after fix resolves to 'UK Container 5th 2026'",true,Never COALESCE a display name down to an identifier. A raw FK renders as plausible data and hides the miss; prefer a blank cell so the gap is visible.,Build gate: no value in the Container column may be a bare numeric string.,None - gate added.,Apply the same no-FK-fallback review to any other name column in V1.,completed,high,true,true,"scwts,foreign-key-leak,data-display,bugfix,gate",2026-07-28__sarujanan__scwts__REQ-01-D05.md,skill_file
D05-A06,2026-07-28,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D05,bugfix,Re-source component images from the supplier system instead of marketplace listings,"Component images were read from listing_data.main_image_url, which covered only 26 of 178 components because components are purchased parts and are rarely listed for sale. Switched the primary source to supplier.order_items.image_url (newest PO wins) with the listing image retained as fallback, lifting coverage to 92 of 178. Audited every image-bearing column in both schemas before choosing.","postgresql, supplier.order_items, supplier.images, public.listing_data, public.sub_images",dashboard-v2-sql/build_v2.py,"coverage audit: order_items.image_url 85/178, listing_data 26/178, webp_url 0/178, supplier.images 1/178, combined 92/178",true,"Source an attribute from the system that owns the entity's lifecycle: purchased parts from the supplier system, sold products from the marketplace system. One source rarely serves both roles.","Component image = COALESCE(supplier order_items image, newest listing image); combo image = newest listing image.",86 components have image_url NULL on every PO line - a source data gap. The image_up flag is unreliable (2158 rows have an image while image_up=0).,Ask the purchasing team to backfill supplier photos for the 86 components.,completed,medium,true,true,"scwts,images,data-source-selection,supplier-vs-marketplace,coverage",2026-07-28__sarujanan__scwts__REQ-01-D05.md,skill_file
D05-A07,2026-07-28,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D05,bugfix,Find and fix a join fan-out double-counting every KPI,"Rows were emitted per (component, combo, marketplace) while all orders, traffic and returns are keyed on the combo alone, so each combo's metrics were written into one row per component and summing rows double-counted. 36 of 223 combos are multi-component; 51 redundant rows were proven byte-identical across every marketplace field. Fixed at source by emitting one row per (combo, marketplace) and carrying the component list in a new comps field.","postgresql, order_transaction, traffic_data, ppc_performance, returns tables","dashboard-v2-sql/build_v2.py, dashboard-v2-sql/make_html.py","impressions 10,174,398 -> 9,416,881; revenue GBP 11,383.18 -> 11,090.48; orders 665 -> 636; rows 564 -> 513",true,"When a fact is keyed at a coarser grain than the row set, joining expands it and any SUM over rows inflates. Guard with a uniqueness assertion on (entity, dimension) plus a reconciliation against an independent aggregate; per-row checks cannot detect it.","Hard gate: count of distinct (product, marketplace) pairs must equal the row count, in both the Combos and Components datasets.","V1's independent-revenue reconciliation gate was not ported to V2, which is why this reached the UI; the new gate is structural only.",Port the independent-total reconciliation gate from build_new_scope.py into build_v2.py.,completed,high,true,true,"scwts,fan-out,double-count,kpi-integrity,regression-guard",2026-07-28__sarujanan__scwts__REQ-01-D05.md,skill_file
D05-A08,2026-07-28,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D05,implementation,Add independent Components and Combos datasets behind one table,"Built a second dataset keyed entirely on the component SKU with its own listings, traffic, orders and returns queries - no combo query reused. Components view is 189 rows over 178 products with 26 components carrying their own single-SKU listing; Combos view is 513 rows over 349 products. Both share one table, filters, search, sorting, pagination and export; only the dataset swaps, with no page reload.","postgresql, listing_data, traffic_data, order_transaction, returns tables","dashboard-v2-sql/build_v2.py, dashboard-v2-sql/make_html.py",build gate 'Component dataset built independently of the combo queries' asserts 189 rows with all combo columns blank,true,"When two entity types share a presentation, ship two fully-computed datasets in one payload and swap in the client. It removes re-query latency and keeps each entity's business logic honest instead of re-slicing the wrong grain.",Component rows must carry no combo values; both datasets must share an identical column layout.,"Only 26 of 178 components are listed individually, so the Components view is sparse by nature.",Confirm with the business whether unlisted components should surface as a listing-gap action list.,completed,medium,true,true,"scwts,dual-dataset,tabs,client-side,dashboard-v2",2026-07-28__sarujanan__scwts__REQ-01-D05.md,skill_file
D05-A09,2026-07-28,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D05,validation,Prove no customer-review source exists before shipping Average Feedback,"Searched every schema for columns matching rating, review, feedback, star, score or comment and every table named like reviews. The only hits were blos_maduro_review_queue_v1 (a 14-row threshold-approval queue belonging to another project) and ph_asin_health_alerts (alert types limited to Listing Inactive and Amazon Inventory Zero). Shipped the column wired end-to-end rendering 'No Reviews' rather than dropping it or inventing values.","postgresql, information_schema, public.blos_maduro_review_queue_v1, public.ph_asin_health_alerts","dashboard-v2-sql/build_v2.py, dashboard-v2-sql/make_html.py",information_schema sweep across all schemas returned no product-rating column; build reports Average Feedback source as FAIL by design,true,"When a requested field has no source, ship the column wired and empty with the gap declared in the build output, rather than silently omitting it or filling placeholder values. The absence then stays visible until it is resolved.","Average Feedback renders the true rating and review count when present, and the literal 'No Reviews' otherwise; placeholder ratings are prohibited.",Column is 0% populated pending a marketplace reviews feed.,"Populate feedback[(sku, platform)] in build_v2.py once a reviews API or table is available.",completed,medium,true,true,"scwts,average-feedback,missing-source,honest-gaps,validation",2026-07-28__sarujanan__scwts__REQ-01-D05.md,skill_file
D05-A10,2026-07-28,sarujanan,scwts,Supplier-to-Customer Workflow Tracking System,REQ-01,D05,enhancement,Restructure the table into grouped product blocks with per-marketplace colour,"Replaced the repeat-everything grid with a rowspan layout: each product renders once and its marketplace listings nest beneath, collapsing 513 rows into 349 product blocks. Values identical across a product's components collapse to a single entry while genuinely differing values stack vertically in the same cell, so nothing is hidden and no extra rows are created. Each marketplace carries its own light background tint measured to an equal visibility level.","html, css, javascript","dashboard-v2-sql/make_html.py, dashboard-v2/index.html","rowspan sum equals row count in both views; 27 of 36 multi-component products collapse supplier/container/received to one value, 9 stack",true,Grouping a wide table exposes duplication that a flat repeat-everything grid camouflages; it is a data-quality check as much as a layout change.,Collapse a stacked cell to a single value only when every component shares that value; otherwise show all values so none are hidden.,"Sorting a grouped table must rank products by their group total, not by an arbitrary member row.",None.,completed,medium,true,true,"scwts,grouped-table,rowspan,ui,marketplace-colour",2026-07-28__sarujanan__scwts__REQ-01-D05.md,skill_file
